code,time_sch,dest,time_act,commercial,orig,pass_load
CX 921,2023-12-20 08:20:00,Cebu,2023-12-20 08:34:00,1,HKG,405
CX 767,2023-12-20 08:25:00,Ho Chi Minh,2023-12-20 08:33:00,1,HKG,278
CX 257,2023-12-20 08:25:00,London/LHR,2023-12-20 08:38:00,1,HKG,286
HB 760,2023-12-20 08:25:00,Seoul/ICN,2023-12-20 08:29:00,1,HKG,315
HX 640,2023-12-20 08:25:00,Fukuoka,2023-12-20 08:23:00,1,HKG,349
CA 118,2023-12-20 08:30:00,Beijing/PEK,2023-12-20 08:29:00,1,HKG,355
CV 4802,2023-12-20 08:30:00,HKG,2023-12-20 07:46:00,0,"Luxembourg
Doha
Bangkok",325
CX 705,2023-12-20 08:30:00,Bangkok,2023-12-20 08:56:00,1,HKG,250
CX 564,2023-12-20 08:30:00,"Taipei
Osaka/Kansai",2023-12-20 08:40:00,1,HKG,354
CX 936,2023-12-20 08:30:00,Wuhan,2023-12-20 08:41:00,1,HKG,133
CX 771,2023-12-20 08:35:00,Phuket,2023-12-20 08:53:00,1,HKG,237
CX 607,2023-12-20 08:35:00,Phnom Penh,2023-12-20 08:45:00,1,HKG,314
RH 830,2023-12-20 08:35:00,HKG,2023-12-20 22:53:00,0,Shanghai/PVG,290
EK 9887,2023-12-20 08:40:00,Dubai/DWC,2023-12-20 08:44:00,0,HKG,264
CX 3095,2023-12-20 08:40:00,Singapore,2023-12-20 08:48:00,0,HKG,230
QR 8407,2023-12-20 08:40:00,Doha,2023-12-20 08:33:00,0,HKG,231
HX 690,2023-12-20 08:40:00,Sapporo,2023-12-20 08:40:00,1,HKG,276
CZ 5010,2023-12-20 08:40:00,Beijing/PKX,2023-12-20 08:43:00,1,HKG,267
MH 079,2023-12-20 08:45:00,Kuala Lumpur,2023-12-20 08:50:00,1,HKG,332
CX 3068,2023-12-20 08:45:00,"Anchorage
Felipe Angeles",2023-12-20 09:03:00,0,HKG,393
CX 512,2023-12-20 08:45:00,Fukuoka,2023-12-20 08:49:00,1,HKG,291
CX 2057,2023-12-20 08:50:00,HKG,2023-12-20 12:20:00,0,Shanghai/PVG,274
HX 664,2023-12-20 08:50:00,Nagoya,2023-12-20 08:54:00,1,HKG,315
CX 432,2023-12-20 08:50:00,Kaohsiung,2023-12-20 08:57:00,1,HKG,251
CV 9933,2023-12-20 08:50:00,"Baku
Luxembourg",2023-12-20 13:40:00,0,HKG,248
BR 891,2023-12-20 08:50:00,HKG,2023-12-20 09:14:00,1,Taipei,261
NJ 5014,2023-12-20 08:55:00,"Sharjah
Leipzig",2023-12-20 09:43:00,0,HKG,257
UO 686,2023-12-20 08:55:00,Osaka/Kansai,2023-12-20 09:43:00,1,HKG,318
UK 102,2023-12-20 08:55:00,Delhi,2023-12-20 09:05:00,1,HKG,266
5J 240,2023-12-20 08:55:00,HKG,2023-12-20 08:49:00,1,Cebu,268
CX 548,2023-12-20 08:55:00,Tokyo/HND,2023-12-20 09:10:00,1,HKG,232
CX 901,2023-12-20 09:00:00,Manila,2023-12-20 09:18:00,1,HKG,281
CX 530,2023-12-20 09:00:00,"Taipei
Nagoya",2023-12-20 09:25:00,1,HKG,315
7L 246,2023-12-20 09:00:00,HKG,2023-12-20 17:59:00,0,"Baku
Tashkent",312
HX 236,2023-12-20 09:00:00,Shanghai/PVG,2023-12-20 09:15:00,1,HKG,261
CX 759,2023-12-20 09:00:00,Singapore,2023-12-20 09:09:00,1,HKG,271
CX 386,2023-12-20 09:00:00,Beijing/PEK,2023-12-20 09:10:00,1,HKG,250
HX 628,2023-12-20 09:00:00,Seoul/ICN,2023-12-20 09:46:00,1,HKG,363
HX 252,2023-12-20 09:05:00,Taipei,2023-12-20 09:47:00,1,HKG,261
CX 504,2023-12-20 09:05:00,Tokyo/NRT,2023-12-20 10:11:00,1,HKG,305
CI 601,2023-12-20 09:05:00,HKG,2023-12-20 09:45:00,1,Taipei,351
SQ 899,2023-12-20 09:05:00,Singapore,2023-12-20 09:14:00,1,HKG,209
3S 538,2023-12-20 09:10:00,HKG,2023-12-20 09:06:00,0,"Leipzig
Singapore",292
CX 694,2023-12-20 09:10:00,HKG,2023-12-20 11:24:00,1,Delhi,349
CX 580,2023-12-20 09:10:00,Sapporo,2023-12-20 09:18:00,1,HKG,315
UO 758,2023-12-20 09:10:00,Bangkok,2023-12-20 09:21:00,1,HKG,291
CX 2032,2023-12-20 09:10:00,HKG,2023-12-20 09:15:00,0,Chennai,290
K4 289,2023-12-20 09:10:00,Los Angeles,2023-12-20 10:09:00,0,HKG,300
AK 8008,2023-12-20 09:15:00,HKG,2023-12-20 13:18:00,0,Kota Kinabalu,226
5J 150,2023-12-20 09:15:00,HKG,2023-12-20 08:44:00,1,Clark,292
HX 608,2023-12-20 09:15:00,Tokyo/NRT,2023-12-20 09:43:00,1,HKG,356
CX 410,2023-12-20 09:20:00,Seoul/ICN,2023-12-20 09:39:00,1,HKG,193
CI 933,2023-12-20 09:20:00,HKG,2023-12-20 09:23:00,1,Kaohsiung,358
HB 320,2023-12-20 09:20:00,Tokyo/NRT,2023-12-20 09:27:00,1,HKG,398
CX 777,2023-12-20 09:20:00,Jakarta,2023-12-20 09:32:00,1,HKG,261
OZ 952,2023-12-20 09:20:00,Seoul/ICN,2023-12-20 13:07:00,0,HKG,299
5J 273,2023-12-20 09:25:00,Manila,2023-12-20 09:28:00,1,HKG,281
UO 848,2023-12-20 09:25:00,Tokyo/NRT,2023-12-20 09:38:00,1,HKG,251
CX 970,2023-12-20 09:30:00,Xiamen,2023-12-20 09:43:00,1,HKG,265
5Y 8104,2023-12-20 09:30:00,"Anchorage
Chicago",2023-12-20 10:04:00,0,HKG,364
RH 371,2023-12-20 09:30:00,Singapore,2023-12-20 12:43:00,0,HKG,300
FD 515,2023-12-20 09:30:00,HKG,2023-12-20 09:12:00,1,Chiang Mai,295
UO 552,2023-12-20 09:30:00,Da Nang,2023-12-20 10:23:00,1,HKG,253
CX 830,2023-12-20 09:30:00,New York/JFK,2023-12-20 09:48:00,1,HKG,362
MU 724,2023-12-20 09:35:00,Shanghai/PVG,2023-12-20 10:13:00,1,HKG,319
CX 624,2023-12-20 09:35:00,HKG,2023-12-20 09:14:00,1,Bengaluru,267
CX 660,2023-12-20 09:35:00,HKG,2023-12-20 10:39:00,1,Mumbai,286
5J 241,2023-12-20 09:40:00,Cebu,2023-12-20 09:55:00,1,HKG,290
HX 308,2023-12-20 09:40:00,Beijing/PKX,2023-12-20 09:51:00,1,HKG,289
UO 642,2023-12-20 09:40:00,Takamatsu,2023-12-20 09:58:00,1,HKG,280
RH 9375,2023-12-20 09:40:00,Chennai,2023-12-20 09:41:00,0,HKG,308
5J 110,2023-12-20 09:45:00,HKG,2023-12-20 09:36:00,1,Manila,236
CX 368,2023-12-20 09:45:00,Shanghai/PVG,2023-12-20 09:53:00,1,HKG,287
CX 536,2023-12-20 09:45:00,Nagoya,2023-12-20 09:59:00,1,HKG,421
PO 8196,2023-12-20 09:45:00,"Anchorage
Los Angeles",2023-12-20 09:26:00,0,HKG,278
FD 508,2023-12-20 09:50:00,HKG,2023-12-20 09:53:00,1,Bangkok/DMK,274
ET 3708,2023-12-20 09:55:00,HKG,2023-12-20 17:37:00,0,Liege,307
UO 850,2023-12-20 09:55:00,Osaka/Kansai,2023-12-20 10:26:00,1,HKG,303
CX 615,2023-12-20 09:55:00,Bangkok,2023-12-20 10:10:00,1,HKG,250
CX 3241,2023-12-20 09:55:00,Jakarta,2023-12-20 10:38:00,0,HKG,266
UO 680,2023-12-20 09:55:00,Nagoya,2023-12-20 10:18:00,1,HKG,259
CI 903,2023-12-20 09:55:00,HKG,2023-12-20 10:27:00,1,Taipei,296
CX 785,2023-12-20 10:00:00,Denpasar,2023-12-20 10:20:00,1,HKG,232
CV 5803,2023-12-20 10:00:00,"Anchorage
New York/JFK
Luxembourg",2023-12-20 10:01:00,0,HKG,301
HY 3578,2023-12-20 10:00:00,Tashkent,2023-12-20 09:48:00,0,HKG,292
CX 450,2023-12-20 10:00:00,"Taipei
Tokyo/NRT",2023-12-20 10:27:00,1,HKG,278
BR 892,2023-12-20 10:00:00,Taipei,2023-12-20 10:39:00,1,HKG,316
CX 348,2023-12-20 10:00:00,Shanghai/SHA,2023-12-20 10:36:00,1,HKG,223
5J 149,2023-12-20 10:00:00,Clark,2023-12-20 10:12:00,1,HKG,303
PO 790,2023-12-20 10:05:00,"Los Angeles
Miami",2023-12-20 09:23:00,0,HKG,340
BR 851,2023-12-20 10:05:00,HKG,2023-12-20 10:10:00,1,Taipei,312
