,time_sch,dest,url,time_act,orig,code
408,16:05,Larnaca,https://www.heathrow.com/departures/terminal-5/flight-details/BA660/19-12-2023,16:42,London,BA660
409,16:10,Copenhagen,https://www.heathrow.com/departures/terminal-5/flight-details/BA808/19-12-2023,16:25,London,BA808
410,16:10,Hannover,https://www.heathrow.com/departures/terminal-5/flight-details/BA978/19-12-2023,18:01,London,BA978
411,16:10,Las Vegas,https://www.heathrow.com/departures/terminal-3/flight-details/BA275/19-12-2023,17:30,London,BA275
412,16:10,Los Angeles,https://www.heathrow.com/departures/terminal-3/flight-details/VS023/19-12-2023,16:50,London,VS023
413,16:15,Helsinki,https://www.heathrow.com/departures/terminal-3/flight-details/AY1336/19-12-2023,16:55,London,AY1336
414,16:15,Istanbul,https://www.heathrow.com/departures/terminal-2/flight-details/TK1986/19-12-2023,16:58,London,TK1986
415,16:15,Chicago,https://www.heathrow.com/departures/terminal-5/flight-details/BA297/19-12-2023,17:39,London,BA297
416,16:15,LDY,https://www.heathrow.com/departures/terminal-2/flight-details/LM656/19-12-2023,16:37,London,LM656
417,16:15,Riyadh,https://www.heathrow.com/departures/terminal-4/flight-details/SV122/19-12-2023,16:33,London,SV122
418,16:20,Dublin,https://www.heathrow.com/departures/terminal-2/flight-details/EI169/19-12-2023,16:59,London,EI169
419,16:20,Geneva,https://www.heathrow.com/departures/terminal-5/flight-details/BA796/19-12-2023,16:43,London,BA796
420,16:20,Washington DC,https://www.heathrow.com/departures/terminal-2/flight-details/UA925/19-12-2023,16:34,London,UA925
421,16:20,New York City,https://www.heathrow.com/departures/terminal-5/flight-details/BA113/19-12-2023,16:51,London,BA113
422,16:25,Amsterdam,https://www.heathrow.com/departures/terminal-5/flight-details/BA440/19-12-2023,16:47,London,BA440
423,16:25,Mumbai,https://www.heathrow.com/departures/terminal-5/flight-details/BA135/19-12-2023,16:39,London,BA135
424,16:25,Boston,https://www.heathrow.com/departures/terminal-3/flight-details/VS011/19-12-2023,16:44,London,VS011
425,16:30,Frankfurt,https://www.heathrow.com/departures/terminal-2/flight-details/LH911/19-12-2023,16:48,London,LH911
426,16:30,Washington DC,https://www.heathrow.com/departures/terminal-5/flight-details/BA293/19-12-2023,17:29,London,BA293
427,16:30,Montreal,https://www.heathrow.com/departures/terminal-5/flight-details/BA095/19-12-2023,17:18,London,BA095
428,16:30,Tunis,https://www.heathrow.com/departures/terminal-4/flight-details/TU791/19-12-2023,17:15,London,TU791
429,16:30,Shanghai,https://www.heathrow.com/departures/terminal-4/flight-details/MU534/19-12-2023,17:12,London,MU534
430,16:35,Athens,https://www.heathrow.com/departures/terminal-2/flight-details/A3603/19-12-2023,16:54,London,A3603
431,16:35,New York City,https://www.heathrow.com/departures/terminal-5/flight-details/BA189/19-12-2023,17:25,London,BA189
432,16:35,Seattle,https://www.heathrow.com/departures/terminal-3/flight-details/DL021/19-12-2023,16:52,London,DL021
433,16:40,Edinburgh,https://www.heathrow.com/departures/terminal-5/flight-details/BA1452/19-12-2023,17:06,London,BA1452
434,16:40,Madrid,https://www.heathrow.com/departures/terminal-5/flight-details/BA464/19-12-2023,17:02,London,BA464
435,16:40,Munich,https://www.heathrow.com/departures/terminal-2/flight-details/LH2477/19-12-2023,18:46,London,LH2477
436,16:45,Barcelona,https://www.heathrow.com/departures/terminal-5/flight-details/BA488/19-12-2023,17:35,London,BA488
437,16:45,Glasgow,https://www.heathrow.com/departures/terminal-5/flight-details/BA1488/19-12-2023,17:03,London,BA1488
438,16:45,Munich,https://www.heathrow.com/departures/terminal-5/flight-details/BA960/19-12-2023,17:00,London,BA960
439,16:50,Boston,https://www.heathrow.com/departures/terminal-5/flight-details/BA203/19-12-2023,17:57,London,BA203
440,16:50,Hong Kong City,https://www.heathrow.com/departures/terminal-3/flight-details/CX238/19-12-2023,17:09,London,CX238
441,16:50,Milan,https://www.heathrow.com/departures/terminal-5/flight-details/BA580/19-12-2023,17:24,London,BA580
442,16:55,Rome,https://www.heathrow.com/departures/terminal-4/flight-details/AZ207/19-12-2023,17:04,London,AZ207
443,16:55,Gothenburg,https://www.heathrow.com/departures/terminal-3/flight-details/BA802/19-12-2023,17:20,London,BA802
444,16:55,Newcastle Upon Tyne,https://www.heathrow.com/departures/terminal-5/flight-details/BA1328/19-12-2023,17:08,London,BA1328
445,16:55,Tehran,https://www.heathrow.com/departures/terminal-3/flight-details/IR710/19-12-2023,17:42,London,IR710
446,17:00,Aberdeen,https://www.heathrow.com/departures/terminal-5/flight-details/BA1314/19-12-2023,17:44,London,BA1314
447,17:00,Copenhagen,https://www.heathrow.com/departures/terminal-2/flight-details/SK506/19-12-2023,17:16,London,SK506
448,17:00,Dublin,https://www.heathrow.com/departures/terminal-5/flight-details/BA838/19-12-2023,17:14,London,BA838
449,17:00,Istanbul,https://www.heathrow.com/departures/terminal-5/flight-details/BA680/19-12-2023,17:32,London,BA680
450,17:00,Nice,https://www.heathrow.com/departures/terminal-5/flight-details/BA348/19-12-2023,17:21,London,BA348
451,17:05,Amsterdam,https://www.heathrow.com/departures/terminal-4/flight-details/KL1022/19-12-2023,17:23,London,KL1022
452,17:05,New York City,https://www.heathrow.com/departures/terminal-3/flight-details/AA107/19-12-2023,17:10,London,AA107
453,17:05,Toronto,https://www.heathrow.com/departures/terminal-5/flight-details/BA099/19-12-2023,17:55,London,BA099
454,17:10,Belfast,https://www.heathrow.com/departures/terminal-5/flight-details/BA1420/19-12-2023,17:49,London,BA1420
455,17:10,Casablanca,https://www.heathrow.com/departures/terminal-4/flight-details/AT801/19-12-2023,18:38,London,AT801
456,17:10,Geneva,https://www.heathrow.com/departures/terminal-5/flight-details/BA736/19-12-2023,17:33,London,BA736
457,17:10,Venice,https://www.heathrow.com/departures/terminal-5/flight-details/BA596/19-12-2023,17:51,London,BA596
458,17:10,Zurich,https://www.heathrow.com/departures/terminal-2/flight-details/LX325/19-12-2023,17:17,London,LX325
459,17:15,Mumbai,https://www.heathrow.com/departures/terminal-3/flight-details/VS354/19-12-2023,17:40,London,VS354
460,17:15,ALA,https://www.heathrow.com/departures/terminal-4/flight-details/KC664/19-12-2023,18:18,London,KC664
461,17:20,Newcastle Upon Tyne,https://www.heathrow.com/departures/terminal-5/flight-details/BA1336/19-12-2023,17:36,London,BA1336
462,17:25,Paris,https://www.heathrow.com/departures/terminal-5/flight-details/BA322/19-12-2023,17:47,London,BA322
463,17:25,Geneva,https://www.heathrow.com/departures/terminal-2/flight-details/LX349/19-12-2023,17:37,London,LX349
464,17:25,Madrid,https://www.heathrow.com/departures/terminal-5/flight-details/IB3171/19-12-2023,17:45,London,IB3171
465,17:25,Nairobi,https://www.heathrow.com/departures/terminal-4/flight-details/KQ101/19-12-2023,18:05,London,KQ101
466,17:30,Athens,https://www.heathrow.com/departures/terminal-5/flight-details/BA634/19-12-2023,18:02,London,BA634
467,17:30,Frankfurt,https://www.heathrow.com/departures/terminal-2/flight-details/LH915/19-12-2023,17:50,London,LH915
468,17:30,Manchester,https://www.heathrow.com/departures/terminal-5/flight-details/BA1398/19-12-2023,18:23,London,BA1398
469,17:30,Oslo,https://www.heathrow.com/departures/terminal-2/flight-details/SK810/19-12-2023,17:46,London,SK810
470,17:35,Paris,https://www.heathrow.com/departures/terminal-4/flight-details/AF1281/19-12-2023,18:00,London,AF1281
471,17:35,Las Vegas,https://www.heathrow.com/departures/terminal-3/flight-details/VS155/19-12-2023,18:07,London,VS155
472,17:35,Prague,https://www.heathrow.com/departures/terminal-3/flight-details/BA860/19-12-2023,17:59,London,BA860
473,17:40,Hong Kong City,https://www.heathrow.com/departures/terminal-5/flight-details/BA031/19-12-2023,19:17,London,BA031
474,17:40,Vancouver,https://www.heathrow.com/departures/terminal-3/flight-details/BA085/19-12-2023,18:30,London,BA085
475,17:40,Beijing,https://www.heathrow.com/departures/terminal-2/flight-details/CA856/19-12-2023,18:04,London,CA856
476,17:45,Amsterdam,https://www.heathrow.com/departures/terminal-5/flight-details/BA442/19-12-2023,18:09,London,BA442
477,17:45,Istanbul,https://www.heathrow.com/departures/terminal-2/flight-details/TK1972/19-12-2023,18:48,London,TK1972
478,17:45,Bucharest,https://www.heathrow.com/departures/terminal-3/flight-details/BA884/19-12-2023,18:20,London,BA884
479,17:45,Dublin,https://www.heathrow.com/departures/terminal-2/flight-details/EI173/19-12-2023,17:52,London,EI173
480,17:50,Amsterdam,https://www.heathrow.com/departures/terminal-4/flight-details/KL1030/19-12-2023,18:19,London,KL1030
481,17:50,Brussels,https://www.heathrow.com/departures/terminal-2/flight-details/SN2096/19-12-2023,18:34,London,SN2096
482,17:50,Hong Kong City,https://www.heathrow.com/departures/terminal-3/flight-details/CX250/19-12-2023,18:28,London,CX250
483,17:50,Washington DC,https://www.heathrow.com/departures/terminal-3/flight-details/VS021/19-12-2023,18:10,London,VS021
484,17:50,Munich,https://www.heathrow.com/departures/terminal-2/flight-details/LH2479/19-12-2023,18:12,London,LH2479
485,17:55,New York City,https://www.heathrow.com/departures/terminal-3/flight-details/VS009/19-12-2023,18:21,London,VS009
486,18:00,Casablanca,https://www.heathrow.com/departures/terminal-4/flight-details/AT807/19-12-2023,18:43,London,AT807
487,18:00,New York City,https://www.heathrow.com/departures/terminal-2/flight-details/UA921/19-12-2023,18:16,London,UA921
488,18:00,New York City,https://www.heathrow.com/departures/terminal-5/flight-details/BA179/19-12-2023,18:36,London,BA179
489,18:00,Tashkent,https://www.heathrow.com/departures/terminal-4/flight-details/HY202/19-12-2023,19:07,London,HY202
490,18:00,Toronto,https://www.heathrow.com/departures/terminal-2/flight-details/AC859/19-12-2023,18:26,London,AC859
491,18:05,Aberdeen,https://www.heathrow.com/departures/terminal-5/flight-details/BA1318/19-12-2023,18:33,London,BA1318
492,18:05,Stockholm,https://www.heathrow.com/departures/terminal-2/flight-details/SK528/19-12-2023,18:14,London,SK528
493,18:05,Shannon,https://www.heathrow.com/departures/terminal-2/flight-details/EI387/19-12-2023,18:13,London,EI387
494,18:05,Warsaw,https://www.heathrow.com/departures/terminal-5/flight-details/BA878/19-12-2023,18:46,London,BA878
495,18:10,Bologna,https://www.heathrow.com/departures/terminal-5/flight-details/BA544/19-12-2023,18:32,London,BA544
496,18:10,Helsinki,https://www.heathrow.com/departures/terminal-3/flight-details/AY1338/19-12-2023,19:21,London,AY1338
497,18:10,Warsaw,https://www.heathrow.com/departures/terminal-2/flight-details/LO280/19-12-2023,18:42,London,LO280
