time_sch,time_act,code,dest,stat,orig
19:30,20:05,BA 440 British Airways,Amsterdam,BAGGAGE HANDLED,London Heathrow (LHR)
19:30,19:42,KL 1116 KLM,Amsterdam,BAGGAGE HANDLED,Stockholm (ARN)
19:30,20:01,KL 1538 KLM,Amsterdam,BAGGAGE HANDLED,Teesside International (MME)
19:35,19:54,AF 1440 Air France,Amsterdam,BAGGAGE HANDLED,Paris de Gaulle (CDG)
19:35,19:35,KL 920 KLM,Amsterdam,CANCELLED,Southampton (SOU)
19:35,20:28,KL 1054 KLM,Amsterdam,BAGGAGE HANDLED,Bristol (BRS)
19:35,20:41,KL 1286 KLM,Amsterdam,BAGGAGE HANDLED,Edinburgh (EDI)
19:35,20:08,KL 1336 KLM,Amsterdam,BAGGAGE HANDLED,Aalborg (AAL)
19:35,21:13,KL 1406 KLM,Amsterdam,BAGGAGE HANDLED,Montpellier (MPL)
19:35,19:35,KL 1504 KLM,Amsterdam,CANCELLED,Valencia (VLC)
19:35,19:35,KL 1550 KLM,Amsterdam,CANCELLED,Leeds Bradford (LBA)
19:35,19:35,KL 1614 KLM,Amsterdam,CANCELLED,Istanbul Airport (IST)
19:35,19:35,KL 1688 KLM,Amsterdam,CANCELLED,Bilbao (BIO)
19:35,19:57,KL 1696 KLM,Amsterdam,BAGGAGE HANDLED,Lisbon (LIS)
19:35,19:35,KL 1704 KLM,Amsterdam,CANCELLED,Madrid (MAD)
19:35,20:36,KL 1746 KLM,Amsterdam,BAGGAGE HANDLED,Luxembourg (LUX)
19:35,20:47,KL 1862 KLM,Amsterdam,BAGGAGE HANDLED,Dusseldorf (DUS)
19:35,21:11,KL 1990 KLM,Amsterdam,BAGGAGE HANDLED,Basel (BSL)
19:40,20:39,EI 610 Aer Lingus,Amsterdam,BAGGAGE HANDLED,Dublin (DUB)
19:40,20:13,EI 844 Aer Lingus,Amsterdam,BAGGAGE HANDLED,Cork (ORK)
19:40,20:11,KL 896 KLM,Amsterdam,BAGGAGE HANDLED,Shanghai (PVG)
19:45,20:33,WA 1066 KLM Cityhopper,Amsterdam,BAGGAGE HANDLED,Cardiff (CWL)
19:50,20:43,8R 6774 Amelia,Amsterdam,BAGGAGE HANDLED,Strasbourg (SXB)
19:50,19:50,KL 964 KLM,Amsterdam,CANCELLED,Newcastle (NCL)
19:50,20:45,KL 1080 KLM,Amsterdam,BAGGAGE HANDLED,Manchester (MAN)
19:50,22:16,KL 1170 KLM,Amsterdam,BAGGAGE HANDLED,Helsinki (HEL)
19:50,20:34,KL 1182 KLM,Amsterdam,BAGGAGE HANDLED,Linkoping (LPI)
19:50,19:50,KL 1604 KLM,Amsterdam,CANCELLED,Rome (FCO)
19:50,19:50,KL 1714 KLM,Amsterdam,CANCELLED,Oporto (OPO)
19:50,22:06,KL 1876 KLM,Amsterdam,BAGGAGE HANDLED,Stuttgart (STR)
19:50,20:57,KL 1888 KLM,Amsterdam,BAGGAGE HANDLED,Nuremberg (NUE)
19:55,20:49,KL 948 KLM,Amsterdam,BAGGAGE HANDLED,Belfast City Airport (BHD)
19:55,20:42,KL 1248 KLM,Amsterdam,BAGGAGE HANDLED,Kristiansand (KRS)
19:55,19:55,KL 1348 KLM,Amsterdam,CANCELLED,Billund (BLL)
19:55,20:51,KL 1432 KLM,Amsterdam,BAGGAGE HANDLED,Birmingham (BHX)
19:55,20:44,KL 1478 KLM,Amsterdam,BAGGAGE HANDLED,Glasgow (GLA)
19:55,20:27,KL 1656 KLM,Amsterdam,BAGGAGE HANDLED,Venice (VCE)
19:55,20:38,KL 1674 KLM,Amsterdam,BAGGAGE HANDLED,Barcelona (BCN)
19:55,20:25,KL 1784 KLM,Amsterdam,BAGGAGE HANDLED,Hamburg (HAM)
19:55,19:55,KL 1832 KLM,Amsterdam,CANCELLED,Berlin Brandenburg (BER)
20:00,20:23,EK 149 Emirates,Amsterdam,BAGGAGE HANDLED,Dubai International (DXB)
20:00,20:40,KL 1218 KLM,Amsterdam,BAGGAGE HANDLED,Sandefjord (TRF)
20:00,20:00,KL 1244 KLM,Amsterdam,CANCELLED,Paris de Gaulle (CDG)
20:00,20:52,KL 1448 KLM,Amsterdam,BAGGAGE HANDLED,Aberdeen (ABZ)
20:00,20:00,KL 1576 KLM,Amsterdam,CANCELLED,Athens (ATH)
20:00,22:10,KL 1922 KLM,Amsterdam,BAGGAGE HANDLED,Warsaw (WAW)
20:00,20:48,OR 1662 TUI fly,Amsterdam,BAGGAGE HANDLED,Tenerife (TFS)
20:05,21:05,EZY 8681 easyJet,Amsterdam,BAGGAGE HANDLED,London Gatwick (LGW)
20:05,21:02,KL 938 KLM,Amsterdam,BAGGAGE HANDLED,Dublin (DUB)
20:05,20:46,KL 994 KLM,Amsterdam,BAGGAGE HANDLED,London City (LCY)
20:05,21:10,KL 1358 KLM,Amsterdam,BAGGAGE HANDLED,Prague (PRG)
20:10,21:19,KL 1030 KLM,Amsterdam,BAGGAGE HANDLED,London Heathrow (LHR)
20:20,20:32,EJU 3855 easyJet Europe,Amsterdam,BAGGAGE HANDLED,Milan Malpensa (MXP)
20:20,21:45,JU 364 Air Serbia,Amsterdam,BAGGAGE HANDLED,Belgrade (BEG)
20:20,21:30,KL 1134 KLM,Amsterdam,BAGGAGE HANDLED,Copenhagen (CPH)
20:25,21:17,EJU 5285 easyJet Europe,Amsterdam,BAGGAGE HANDLED,Berlin Brandenburg (BER)
